Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,185291530,2377.1963639402074,2906590,37.29007569566162,458355,4010834,51.45696622596704,55457,0.7114851863710785,8516,
United States of America,Americas,33451965,10106.25,108004,32.63,22569,601231,181.64,1551,0.47,301,Community transmission
India,South-East Asia,30752950,2228.47,294699,21.35,43393,405939,29.42,5627,0.41,911,Clusters of cases
Brazil,Americas,18909037,8895.88,351896,165.55,54022,528540,248.66,10474,4.93,1648,Community transmission
Russian Federation,Europe,5733218,3928.63,171858,117.76,25766,141501,96.96,4936,3.38,726,Clusters of cases
France,Europe,5686066,8742.5,18985,29.19,4324,110341,169.65,151,0.23,23,Community transmission
Turkey,Europe,5465094,6479.91,34154,40.5,5171,50096,59.4,322,0.38,48,Community transmission
The United Kingdom,Europe,5022897,7399.02,194430,286.41,31977,128336,189.05,174,0.26,35,Community transmission
Argentina,Americas,4593763,10164.14,123389,273.01,19423,97439,215.59,3135,6.94,456,Community transmission
Colombia,Americas,4426811,8700,185829,365.21,24229,110578,217.32,4034,7.93,559,Community transmission
Italy,Europe,4267105,7154.59,6317,10.59,1391,127731,214.16,144,0.24,13,Clusters of cases
Spain,Europe,3915313,8271.91,80354,169.76,7698,80997,171.12,46,0.1,2,Community transmission
Germany,Europe,3734468,4490.34,4786,5.75,949,91190,109.65,183,0.22,49,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,3327526,3961.67,108666,129.38,23391,85397,101.67,1008,1.2,136,Community transmission
Poland,Europe,2880670,7589.07,563,1.48,74,75152,197.99,87,0.23,17,Community transmission
Mexico,Americas,2558369,1984.27,39100,30.33,8507,234192,181.64,1145,0.89,234,Community transmission
Indonesia,South-East Asia,2455912,897.88,226974,82.98,38124,64631,23.63,5097,1.86,871,Community transmission
Ukraine,Europe,2240246,5122.46,3749,8.57,655,52572,120.21,148,0.34,12,Community transmission
South Africa,Africa,2135246,3600.22,139690,235.53,22910,63499,107.07,2470,4.16,460,Community transmission
Peru,Americas,2071637,6283.05,17162,52.05,2586,193743,587.6,1376,4.17,155,Community transmission
Netherlands,Europe,1701911,9776.84,16153,92.79,5475,17762,102.04,14,0.08,2,Community transmission
Czechia,Europe,1668891,15605.95,1160,10.85,254,30331,283.63,3,0.03,0,Community transmission
Chile,Americas,1579591,8263.1,21034,110.03,3255,33514,175.32,926,4.84,186,Community transmission
Philippines,Western Pacific,1455585,1328.32,37259,34,5484,25650,23.41,853,0.78,191,Community transmission
Canada,Americas,1418632,3758.75,3348,8.87,552,26387,69.91,92,0.24,6,Community transmission
Iraq,Eastern Mediterranean,1406289,3496.28,52831,131.35,9189,17444,43.37,228,0.57,31,Community transmission
Belgium,Europe,1092477,9481.3,4133,35.87,1,25196,218.67,12,0.1,0,Community transmission
Sweden,Europe,1092308,10576.6,1765,17.09,261,14642,141.78,1,0.01,0,Community transmission
Romania,Europe,1081174,5593.58,314,1.62,54,34197,176.92,15,0.08,1,Community transmission
Bangladesh,South-East Asia,1000543,607.53,70501,42.81,11324,16004,9.72,1226,0.74,212,Community transmission
Pakistan,Eastern Mediterranean,967633,438.06,9225,4.18,1626,22493,10.18,172,0.08,24,Community transmission
Portugal,Europe,899295,8734.49,17289,167.92,3269,17135,166.43,34,0.33,9,Clusters of cases
Israel,Europe,845123,9763.95,2631,30.4,93,6434,74.33,3,0.03,0,Community transmission
Japan,Western Pacific,813976,643.58,12255,9.69,2264,14917,11.79,115,0.09,20,Clusters of cases
Malaysia,Western Pacific,808658,2498.48,49691,153.53,8868,5903,18.24,649,2.01,135,Community transmission
Hungary,Europe,808437,8275.09,240,2.46,44,30004,307.12,12,0.12,0,Community transmission
Jordan,Eastern Mediterranean,754927,7398.97,2990,29.3,0,9800,96.05,44,0.43,0,Community transmission
Serbia,Europe,717293,10355.47,650,9.38,97,7064,101.98,17,0.25,1,Community transmission
Switzerland,Europe,701473,8105.19,1214,14.03,2,10311,119.14,1,0.01,0,Community transmission
Nepal,South-East Asia,652859,2240.67,10806,37.09,1479,9340,32.06,161,0.55,20,Community transmission
Austria,Europe,647111,7270.04,711,7.99,117,10511,118.09,21,0.24,1,Community transmission
United Arab Emirates,Eastern Mediterranean,645653,6528.08,11071,111.94,1539,1849,18.69,30,0.3,2,Community transmission
Lebanon,Eastern Mediterranean,546366,8004.84,1350,19.78,0,7867,115.26,13,0.19,0,Community transmission
Morocco,Eastern Mediterranean,537253,1455.55,5103,13.83,0,9341,25.31,43,0.12,0,Community transmission
Saudi Arabia,Eastern Mediterranean,497773,1429.81,8647,24.84,1257,7933,22.79,101,0.29,12,Community transmission
Kazakhstan,Europe,497017,2646.99,8813,46.94,0,7934,42.25,175,0.93,0,Clusters of cases
Ecuador,Americas,465878,2640.57,6340,35.93,849,21768,123.38,163,0.92,40,Community transmission
Tunisia,Eastern Mediterranean,464914,3933.74,38035,321.82,0,15735,133.14,670,5.67,0,Community transmission
Bolivia (Plurinational State of),Americas,449687,3852.36,10063,86.21,1474,17067,146.21,300,2.57,54,Community transmission
Greece,Europe,433021,4039.92,9836,91.77,2061,12773,119.17,63,0.59,10,Community transmission
Paraguay,Americas,432801,6067.98,9519,133.46,1434,13645,191.31,750,10.52,92,Community transmission
Belarus,Europe,424554,4492.96,6342,67.12,1035,3225,34.13,72,0.76,11,Community transmission
Bulgaria,Europe,422353,6075.73,451,6.49,55,18134,260.87,67,0.96,5,Clusters of cases
Panama,Americas,411226,9530.67,7448,172.62,1222,6599,152.94,54,1.25,8,Community transmission
Slovakia,Europe,391813,7178.86,137,2.51,33,12516,229.32,5,0.09,0,Clusters of cases
Costa Rica,Americas,377091,7402.48,9153,179.68,1279,4753,93.3,86,1.69,13,Community transmission
Georgia,Europe,374836,9396.33,6814,170.81,1108,5421,135.89,86,2.16,7,Community transmission
Uruguay,Americas,374665,10785.67,5315,153.01,646,5758,165.76,165,4.75,23,Community transmission
Kuwait,Eastern Mediterranean,369227,8645.85,10716,250.93,0,2059,48.21,80,1.87,0,Community transmission
Croatia,Europe,360680,8887.76,613,15.11,87,8226,202.7,14,0.34,0,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,343710,6737.54,581,11.39,0,3845,75.37,12,0.24,0,Community transmission
Azerbaijan,Europe,336788,3321.65,666,6.57,104,4980,49.12,5,0.05,1,Clusters of cases
Dominican Republic,Americas,331826,3058.89,5633,51.93,885,3870,35.68,30,0.28,0,Community transmission
Thailand,South-East Asia,317506,454.88,46585,66.74,9276,2534,3.63,393,0.56,72,Clusters of cases
Guatemala,Americas,311342,1737.83,14904,83.19,3069,9609,53.63,327,1.83,36,Community transmission
Denmark,Europe,297543,5110,3391,58.24,658,2538,43.59,3,0.05,0,Community transmission
Egypt,Eastern Mediterranean,282582,276.14,1058,1.03,0,16332,15.96,138,0.13,0,Clusters of cases
Oman,Eastern Mediterranean,281688,5516.13,11184,219.01,1453,3371,66.01,231,4.52,15,Community transmission
Venezuela (Bolivarian Republic of),Americas,280980,988.12,8268,29.08,1167,3239,11.39,120,0.42,17,Community transmission
Lithuania,Europe,279024,9986.22,198,7.09,0,4396,157.33,9,0.32,0,Community transmission
Ethiopia,Africa,276799,240.77,549,0.48,116,4341,3.78,16,0.01,3,Community transmission
Ireland,Europe,276104,5561.63,3399,68.47,534,5006,100.84,6,0.12,0,Community transmission
Honduras,Americas,270689,2732.96,7929,80.05,669,7175,72.44,170,1.72,26,Community transmission
Sri Lanka,South-East Asia,269946,1260.65,7151,33.4,0,3334,15.57,234,1.09,0,Clusters of cases
Bahrain,Eastern Mediterranean,266797,15679.41,822,48.31,0,1367,80.34,14,0.82,0,Community transmission
Slovenia,Europe,257619,12291.8,260,12.41,68,4753,226.78,0,0,0,Clusters of cases
Republic of Moldova,Europe,257272,6377.65,456,11.3,85,6205,153.82,11,0.27,2,Community transmission
Armenia,Europe,226135,7631.36,796,26.86,148,4540,153.21,22,0.74,4,Community transmission
Qatar,Eastern Mediterranean,222918,7737.38,701,24.33,0,596,20.69,5,0.17,0,Community transmission
Cuba,Americas,218396,1928.17,24451,215.87,3819,1431,12.63,129,1.14,26,Community transmission
Bosnia and Herzegovina,Europe,205130,6252.41,98,2.99,17,9654,294.26,5,0.15,0,Community transmission
Libya,Eastern Mediterranean,199526,2903.76,5621,81.8,1384,3227,46.96,29,0.42,4,Community transmission
Kenya,Africa,187525,348.75,2988,5.56,566,3716,6.91,76,0.14,11,Community transmission
Myanmar,South-East Asia,184375,338.86,23165,42.58,4320,3685,6.77,321,0.59,64,Clusters of cases
Zambia,Africa,170456,927.2,12624,68.67,1453,2672,14.53,401,2.18,54,Community transmission
Nigeria,Africa,168256,81.62,638,0.31,146,2122,1.03,2,0,0,Community transmission
Republic of Korea,Western Pacific,165344,322.5,6796,13.26,1316,2036,3.97,12,0.02,2,Clusters of cases
North Macedonia,Europe,155760,7476.31,71,3.41,19,5486,263.32,1,0.05,0,Sporadic cases
Algeria,Africa,143652,327.59,3577,8.16,620,3798,8.66,72,0.16,12,Community transmission
Puerto Rico,Americas,140434,4908.82,376,13.14,22,2553,89.24,4,0.14,1,Community transmission
Latvia,Europe,137797,7223.3,297,15.57,50,2535,132.88,15,0.79,1,Community transmission
Kyrgyzstan,Europe,137058,2100.77,9178,140.68,1319,2083,31.93,64,0.98,10,Clusters of cases
Norway,Europe,132572,2469.87,1064,19.82,211,796,14.83,2,0.04,0,Clusters of cases
Albania,Europe,132565,4606.47,42,1.46,8,2456,85.34,0,0,0,Clusters of cases
Mongolia,Western Pacific,131962,4025.33,13999,427.02,1510,655,19.98,77,2.35,9,Clusters of cases
Afghanistan,Eastern Mediterranean,131586,338.02,9430,24.22,1473,5561,14.29,513,1.32,84,Community transmission
Estonia,Europe,131396,9887.01,273,20.54,39,1270,95.56,1,0.08,0,Clusters of cases
China,Western Pacific,119141,8.1,497,0.03,47,5566,0.38,58,0,3,Clusters of cases
